Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_0402_1005Metric,-50.844,-31.509,270,top
D2,LED,LED_0402_1005Metric,-67.25,-12.035,90,top
D3,LED,LED_0402_1005Metric,-25.528,-56.226,180,top
D4,LED,LED_0402_1005Metric,-50.844,-34.684,90,top
D5,LED,LED_0402_1005Metric,-22.353,-56.226,0,top
D6,LED,LED_0402_1005Metric,-67.25,-15.21,270,top
D7,LED,LED_0402_1005Metric,-49.256,-29.9215,0,top
D8,LED,LED_0402_1005Metric,-65.6625,-10.4475,180,top
D9,LED,LED_0402_1005Metric,-27.1155,-54.6385,270,top
D10,LED,LED_0402_1005Metric,-65.6625,-12.035,135,top
D11,LED,LED_0402_1005Metric,-49.256,-31.509,135,top
D12,LED,LED_0402_1005Metric,-25.528,-54.6385,225,top
D13,LED,LED_0402_1005Metric,-23.9405,-54.6385,270,top
D14,LED,LED_0402_1005Metric,-49.256,-33.0965,180,top
D15,LED,LED_0402_1005Metric,-65.6625,-13.6225,180,top
D16,LED,LED_0402_1005Metric,-49.256,-34.684,225,top
D17,LED,LED_0402_1005Metric,-22.353,-54.6385,315,top
D18,LED,LED_0402_1005Metric,-65.6625,-15.21,225,top
D19,LED,LED_0402_1005Metric,-49.256,-36.2715,0,top
D20,LED,LED_0402_1005Metric,-20.7655,-54.6385,270,top
D21,LED,LED_0402_1005Metric,-65.6625,-16.7975,180,top
D22,LED,LED_0402_1005Metric,-47.668,-31.509,270,top
D23,LED,LED_0402_1005Metric,-64.075,-12.035,90,top
D24,LED,LED_0402_1005Metric,-25.528,-53.051,180,top
D25,LED,LED_0402_1005Metric,-47.668,-34.684,270,top
D26,LED,LED_0402_1005Metric,-22.353,-53.051,0,top
D27,LED,LED_0402_1005Metric,-64.075,-15.21,270,top
D28,LED,LED_0402_1005Metric,-27.1155,-51.4635,270,top
D29,LED,LED_0402_1005Metric,-46.081,-29.9215,0,top
D30,LED,LED_0402_1005Metric,-62.4875,-10.4475,180,top
D31,LED,LED_0402_1005Metric,-46.081,-31.509,45,top
D32,LED,LED_0402_1005Metric,-25.528,-51.4635,315,top
D33,LED,LED_0402_1005Metric,-62.4875,-12.035,225,top
D34,LED,LED_0402_1005Metric,-46.081,-33.0965,0,top
D35,LED,LED_0402_1005Metric,-62.4875,-13.6225,180,top
D36,LED,LED_0402_1005Metric,-23.9405,-51.4635,270,top
D37,LED,LED_0402_1005Metric,-62.4875,-15.21,135,top
D38,LED,LED_0402_1005Metric,-46.081,-34.684,315,top
D39,LED,LED_0402_1005Metric,-22.353,-51.4635,225,top
D40,LED,LED_0402_1005Metric,-46.081,-36.2715,0,top
D41,LED,LED_0402_1005Metric,-20.7655,-51.4635,270,top
D42,LED,LED_0402_1005Metric,-62.4875,-16.7975,180,top
D43,LED,LED_0402_1005Metric,-44.494,-31.509,270,top
