Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_0402_1005Metric,-36.294,13.621,270,top
D2,LED,LED_0402_1005Metric,-36.294,-5.329,270,top
D3,LED,LED_0402_1005Metric,-36.294,10.446,90,top
D4,LED,LED_0402_1005Metric,-36.294,-8.504,90,top
D5,LED,LED_0402_1005Metric,-34.706,-3.7415,0,top
D6,LED,LED_0402_1005Metric,-34.706,15.2085,0,top
D7,LED,LED_0402_1005Metric,-34.706,-5.329,135,top
D8,LED,LED_0402_1005Metric,-34.706,13.621,135,top
D9,LED,LED_0402_1005Metric,-34.706,12.0335,180,top
D10,LED,LED_0402_1005Metric,-34.706,-6.9165,180,top
D11,LED,LED_0402_1005Metric,-34.706,10.446,225,top
D12,LED,LED_0402_1005Metric,-34.706,-8.504,225,top
D13,LED,LED_0402_1005Metric,-34.706,-10.0915,0,top
D14,LED,LED_0402_1005Metric,-34.706,8.8585,0,top
D15,LED,LED_0402_1005Metric,-33.118,-5.329,270,top
D16,LED,LED_0402_1005Metric,-33.118,13.621,270,top
D17,LED,LED_0402_1005Metric,-33.118,-8.504,270,top
D18,LED,LED_0402_1005Metric,-33.118,10.446,270,top
D19,LED,LED_0402_1005Metric,-31.531,-3.7415,0,top
D20,LED,LED_0402_1005Metric,-31.531,15.2085,0,top
D21,LED,LED_0402_1005Metric,-31.531,-5.329,45,top
D22,LED,LED_0402_1005Metric,-31.531,13.621,45,top
D23,LED,LED_0402_1005Metric,-31.531,-6.9165,0,top
D24,LED,LED_0402_1005Metric,-31.531,12.0335,0,top
D25,LED,LED_0402_1005Metric,-31.531,10.446,315,top
D26,LED,LED_0402_1005Metric,-31.531,-8.504,315,top
D27,LED,LED_0402_1005Metric,-31.531,8.8585,0,top
D28,LED,LED_0402_1005Metric,-31.531,-10.0915,0,top
D29,LED,LED_0402_1005Metric,-29.944,-5.329,270,top
D30,LED,LED_0402_1005Metric,-29.944,13.621,270,top
D31,LED,LED_0402_1005Metric,-29.944,-8.504,90,top
D32,LED,LED_0402_1005Metric,-29.944,10.446,90,top
D33,LED,LED_0402_1005Metric,-26.134,13.621,270,top
D34,LED,LED_0402_1005Metric,-26.134,-5.329,270,top
D35,LED,LED_0402_1005Metric,-26.134,10.446,90,top
D36,LED,LED_0402_1005Metric,-26.134,-8.504,90,top
D37,LED,LED_0402_1005Metric,-24.546,15.2085,0,top
D38,LED,LED_0402_1005Metric,-24.546,-3.7415,0,top
D39,LED,LED_0402_1005Metric,-24.546,13.621,135,top
D40,LED,LED_0402_1005Metric,-24.546,-5.329,135,top
D41,LED,LED_0402_1005Metric,-24.546,12.0335,180,top
D42,LED,LED_0402_1005Metric,-24.546,-6.9165,180,top
D43,LED,LED_0402_1005Metric,-24.546,10.446,225,top
D44,LED,LED_0402_1005Metric,-24.546,-8.504,225,top
D45,LED,LED_0402_1005Metric,-24.546,8.8585,0,top
D46,LED,LED_0402_1005Metric,-24.546,-10.0915,0,top
D47,LED,LED_0402_1005Metric,-22.958,-5.329,270,top
D48,LED,LED_0402_1005Metric,-22.958,13.621,270,top
D49,LED,LED_0402_1005Metric,-22.958,-8.504,270,top
D50,LED,LED_0402_1005Metric,-22.958,10.446,270,top
D51,LED,LED_0402_1005Metric,-21.371,-3.7415,0,top
D52,LED,LED_0402_1005Metric,-21.371,15.2085,0,top
D53,LED,LED_0402_1005Metric,-21.371,-5.329,45,top
D54,LED,LED_0402_1005Metric,-21.371,13.621,45,top
D55,LED,LED_0402_1005Metric,-21.371,12.0335,0,top
D56,LED,LED_0402_1005Metric,-21.371,-6.9165,0,top
D57,LED,LED_0402_1005Metric,-21.371,-8.504,315,top
D58,LED,LED_0402_1005Metric,-21.371,10.446,315,top
D59,LED,LED_0402_1005Metric,-21.371,-10.0915,0,top
D60,LED,LED_0402_1005Metric,-21.371,8.8585,0,top
D61,LED,LED_0402_1005Metric,-19.784,-5.329,270,top
D62,LED,LED_0402_1005Metric,-19.784,13.621,270,top
D63,LED,LED_0402_1005Metric,-19.784,10.446,90,top
D64,LED,LED_0402_1005Metric,-19.784,-8.504,90,top
D65,LED,LED_0402_1005Metric,-15.974,13.621,270,top
D66,LED,LED_0402_1005Metric,-15.974,-5.329,270,top
D67,LED,LED_0402_1005Metric,-15.974,10.446,90,top
D68,LED,LED_0402_1005Metric,-15.974,-8.504,90,top
D69,LED,LED_0402_1005Metric,-14.386,-3.7415,0,top
D70,LED,LED_0402_1005Metric,-14.386,15.2085,0,top
D71,LED,LED_0402_1005Metric,-14.386,13.621,135,top
D72,LED,LED_0402_1005Metric,-14.386,-5.329,135,top
D73,LED,LED_0402_1005Metric,-14.386,-6.9165,180,top
D74,LED,LED_0402_1005Metric,-14.386,12.0335,180,top
D75,LED,LED_0402_1005Metric,-14.386,-8.504,225,top
D76,LED,LED_0402_1005Metric,-14.386,10.446,225,top
D77,LED,LED_0402_1005Metric,-14.386,-10.0915,0,top
D78,LED,LED_0402_1005Metric,-14.386,8.8585,0,top
D79,LED,LED_0402_1005Metric,-12.798,-5.329,270,top
D80,LED,LED_0402_1005Metric,-12.798,13.621,270,top
D81,LED,LED_0402_1005Metric,-12.798,-8.504,270,top
D82,LED,LED_0402_1005Metric,-12.798,10.446,270,top
D83,LED,LED_0402_1005Metric,-11.211,15.2085,0,top
D84,LED,LED_0402_1005Metric,-11.211,-3.7415,0,top
D85,LED,LED_0402_1005Metric,-11.211,13.621,45,top
D86,LED,LED_0402_1005Metric,-11.211,-5.329,45,top
D87,LED,LED_0402_1005Metric,-11.211,12.0335,0,top
D88,LED,LED_0402_1005Metric,-11.211,-6.9165,0,top
D89,LED,LED_0402_1005Metric,-11.211,10.446,315,top
D90,LED,LED_0402_1005Metric,-11.211,-8.504,315,top
D91,LED,LED_0402_1005Metric,-11.211,8.8585,0,top
D92,LED,LED_0402_1005Metric,-11.211,-10.0915,0,top
D93,LED,LED_0402_1005Metric,-9.624,13.621,270,top
D94,LED,LED_0402_1005Metric,-9.624,-5.329,270,top
D95,LED,LED_0402_1005Metric,-9.624,10.446,90,top
D96,LED,LED_0402_1005Metric,-9.624,-8.504,90,top
D97,LED,LED_0402_1005Metric,-5.814,-5.329,270,top
D98,LED,LED_0402_1005Metric,-5.814,13.621,270,top
D99,LED,LED_0402_1005Metric,-5.814,10.446,90,top
D100,LED,LED_0402_1005Metric,-5.814,-8.504,90,top
D101,LED,LED_0402_1005Metric,-4.226,15.2085,0,top
D102,LED,LED_0402_1005Metric,-4.226,-3.7415,0,top
D103,LED,LED_0402_1005Metric,-4.226,13.621,135,top
D104,LED,LED_0402_1005Metric,-4.226,-5.329,135,top
D105,LED,LED_0402_1005Metric,-4.226,12.0335,180,top
D106,LED,LED_0402_1005Metric,-4.226,-6.9165,180,top
D107,LED,LED_0402_1005Metric,-4.226,10.446,225,top
D108,LED,LED_0402_1005Metric,-4.226,-8.504,225,top
D109,LED,LED_0402_1005Metric,-4.226,8.8585,0,top
D110,LED,LED_0402_1005Metric,-4.226,-10.0915,0,top
D111,LED,LED_0402_1005Metric,-2.638,13.621,270,top
D112,LED,LED_0402_1005Metric,-2.638,-5.329,270,top
D113,LED,LED_0402_1005Metric,-2.638,10.443,270,top
D114,LED,LED_0402_1005Metric,-2.638,-8.507,270,top
D115,LED,LED_0402_1005Metric,-1.051,-3.7415,180,top
D116,LED,LED_0402_1005Metric,-1.051,15.2085,180,top
D117,LED,LED_0402_1005Metric,-1.051,13.621,45,top
D118,LED,LED_0402_1005Metric,-1.051,-5.329,45,top
D119,LED,LED_0402_1005Metric,-1.051,12.0335,0,top
