Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_0402_1005Metric,-47.1075,-39.467,90,top
D2,LED,LED_0402_1005Metric,-12.021,-64.5135,180,top
D3,LED,LED_0402_1005Metric,-39.171,-64.5135,180,top
D4,LED,LED_0402_1005Metric,-35.996,-64.5135,0,top
D5,LED,LED_0402_1005Metric,-47.1075,-42.642,270,top
D6,LED,LED_0402_1005Metric,-8.846,-64.5135,0,top
D7,LED,LED_0402_1005Metric,-45.52,-37.8795,180,top
D8,LED,LED_0402_1005Metric,-40.7585,-62.926,270,top
D9,LED,LED_0402_1005Metric,-13.6085,-62.926,270,top
D10,LED,LED_0402_1005Metric,-39.171,-62.926,225,top
D11,LED,LED_0402_1005Metric,-12.021,-62.926,225,top
D12,LED,LED_0402_1005Metric,-45.52,-39.467,135,top
D13,LED,LED_0402_1005Metric,-10.4335,-62.926,270,top
D14,LED,LED_0402_1005Metric,-45.52,-41.0545,180,top
D15,LED,LED_0402_1005Metric,-37.5835,-62.926,270,top
D16,LED,LED_0402_1005Metric,-8.846,-62.926,315,top
D17,LED,LED_0402_1005Metric,-45.52,-42.642,225,top
D18,LED,LED_0402_1005Metric,-35.996,-62.926,315,top
D19,LED,LED_0402_1005Metric,-34.4085,-62.926,270,top
D20,LED,LED_0402_1005Metric,-7.2585,-62.926,270,top
D21,LED,LED_0402_1005Metric,-45.52,-44.2295,180,top
D22,LED,LED_0402_1005Metric,-39.171,-61.3385,180,top
D23,LED,LED_0402_1005Metric,-12.021,-61.3385,180,top
D24,LED,LED_0402_1005Metric,-43.9325,-39.467,90,top
D25,LED,LED_0402_1005Metric,-43.9325,-42.642,270,top
D26,LED,LED_0402_1005Metric,-35.996,-61.3385,0,top
D27,LED,LED_0402_1005Metric,-8.846,-61.3385,0,top
D28,LED,LED_0402_1005Metric,-13.6085,-59.751,270,top
D29,LED,LED_0402_1005Metric,-40.7585,-59.751,270,top
D30,LED,LED_0402_1005Metric,-42.345,-37.8795,180,top
D31,LED,LED_0402_1005Metric,-12.021,-59.751,315,top
D32,LED,LED_0402_1005Metric,-39.171,-59.751,315,top
D33,LED,LED_0402_1005Metric,-42.345,-39.467,225,top
D34,LED,LED_0402_1005Metric,-10.4335,-59.751,270,top
D35,LED,LED_0402_1005Metric,-37.5835,-59.751,270,top
D36,LED,LED_0402_1005Metric,-42.345,-41.0545,180,top
D37,LED,LED_0402_1005Metric,-8.846,-59.751,225,top
D38,LED,LED_0402_1005Metric,-35.996,-59.751,225,top
